
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: mode: prune
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: model: vgg19
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: verbose: False
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataset: cifar100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataroot: data
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: batch_size: 128
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: total_epochs: 100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_milestones: 40,80
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_gamma: 0.1
[09/09 18:20:15] cifar100-global-group2-vgg19 INFO: Epoch 70/120, Acc=0.6967, Val Loss=1.1400, lr=0.0010
[09/09 18:20:33] cifar100-global-group2-vgg19 INFO: Epoch 71/120, Acc=0.7024, Val Loss=1.1356, lr=0.0010
[09/09 18:20:51] cifar100-global-group2-vgg19 INFO: Epoch 72/120, Acc=0.7007, Val Loss=1.1488, lr=0.0010
[09/09 18:21:09] cifar100-global-group2-vgg19 INFO: Epoch 73/120, Acc=0.6980, Val Loss=1.1543, lr=0.0010
[09/09 18:21:26] cifar100-global-group2-vgg19 INFO: Epoch 74/120, Acc=0.6970, Val Loss=1.1803, lr=0.0010
[09/09 18:21:44] cifar100-global-group2-vgg19 INFO: Epoch 75/120, Acc=0.6934, Val Loss=1.1769, lr=0.0010
[09/09 18:22:01] cifar100-global-group2-vgg19 INFO: Epoch 76/120, Acc=0.6948, Val Loss=1.1913, lr=0.0010
[09/09 18:22:19] cifar100-global-group2-vgg19 INFO: Epoch 77/120, Acc=0.6974, Val Loss=1.1927, lr=0.0010
[09/09 18:22:35] cifar100-global-group2-vgg19 INFO: Epoch 78/120, Acc=0.6935, Val Loss=1.2073, lr=0.0010
[09/09 18:22:53] cifar100-global-group2-vgg19 INFO: Epoch 79/120, Acc=0.6926, Val Loss=1.2236, lr=0.0010
[09/09 18:23:11] cifar100-global-group2-vgg19 INFO: Epoch 80/120, Acc=0.6903, Val Loss=1.2377, lr=0.0010
[09/09 18:23:28] cifar100-global-group2-vgg19 INFO: Epoch 81/120, Acc=0.6932, Val Loss=1.2375, lr=0.0010
[09/09 18:23:46] cifar100-global-group2-vgg19 INFO: Epoch 82/120, Acc=0.6903, Val Loss=1.2459, lr=0.0010
[09/09 18:24:03] cifar100-global-group2-vgg19 INFO: Epoch 83/120, Acc=0.6914, Val Loss=1.2320, lr=0.0010
[09/09 18:24:20] cifar100-global-group2-vgg19 INFO: Epoch 84/120, Acc=0.6873, Val Loss=1.2455, lr=0.0010
[09/09 18:24:38] cifar100-global-group2-vgg19 INFO: Epoch 85/120, Acc=0.6918, Val Loss=1.2580, lr=0.0010
[09/09 18:24:56] cifar100-global-group2-vgg19 INFO: Epoch 86/120, Acc=0.6833, Val Loss=1.2821, lr=0.0010
